,,time,mr L1,mr L2,mr L3,RAM_A(L3_TCM),Flops
ijk,32,47.6666666667,0.00398166666667,0.510173333333,0.498019,9.66666666667,70061.3333333
,52,194.666666667,0.002097,0.335716,0.448970666667,50.3333333333,296094.0
,128,2941.66666667,0.501782333333,0.00165533333333,0.093681,107.0,5305003.33333
,148,4120.66666667,0.032251,0.005944,0.207580666667,697.666666667,6853116.33333
,1024,2761794.66667,0.530187,0.943035333333,0.000133666666667,137801.0,8355876261.33
,2048,21454305.0,0.529827666667,0.942029,7.7e-05,720852.0,64499807293.0

ikj,32,32.0,0.002754,0.292667666667,0.071576,11.0,67402.3333333
,52,189.0,0.00141,0.213893333333,0.182893,26.0,282097.333333
,128,2687.0,0.0207433333333,0.00452666666667,0.188536,155.0,4440964.33333
,148,4069.66666667,0.0207263333333,0.00378966666667,0.299981666667,174.0,6505822.66667
,1024,1300819.66667,0.020899,0.0249056666667,0.01463,26322.0,2155776388.33
,2048,10376311.6667,0.0208523333333,0.0244303333333,0.007507,99265.3333333,17232941268.0

jki,32,32.3333333333,0.002575,0.702129,0.0901753333333,13.3333333333,67248.0
,52,189.666666667,0.00160966666667,0.394966666667,0.198479666667,50.3333333333,296301.333333
,128,6763.33333333,0.665410333333,0.003808,0.00266866666667,59.3333333333,9108739.33333
,148,4086.33333333,0.028289,0.0182343333333,0.0980256666667,383.333333333,6905576.0
,1024,11406119.6667,0.701398666667,0.930122,8.03333333333e-05,148463.666667,10085173005.7
,2048,93727949.0,0.870631,0.751192333333,0.004692,120908470.0,117361269781.0

ijk_t,32,33.6666666667,0.003874,0.287158666667,0.122538666667,10.6666666667,69295.0
,52,134.666666667,0.00204033333333,0.300937333333,0.164507333333,29.6666666667,307434.333333
,128,2613.0,0.032435,0.006697,0.369415666667,93.3333333333,4291099.0
,148,3906.0,0.030948,0.005157,0.579667666667,611.666666667,7046997.66667
,1024,988192.333333,0.0315676666667,0.0321876666667,0.031524,72596.6666667,2155973907.67
,2048,7918431.0,0.0314253333333,0.0281433333333,0.0169813333333,285590.333333,17235548978.7

jki_t,32,29.0,0.002608,0.316834666667,0.124564666667,55.6666666667,66801.3333333
,52,175.333333333,0.00163133333333,0.29203,0.434387333333,111.666666667,289555.333333
,128,2623.66666667,0.028044,0.010879,0.183280333333,460.666666667,4448482.66667
,148,3940.33333333,0.0251046666667,0.00760433333333,0.300297,707.0,6638298.66667
,1024,1324434.66667,0.021886,0.0736883333333,0.0233433333333,123818.666667,2185387591.0
,2048,10809109.6667,0.0213463333333,0.0488936666667,0.247574333333,7667903.33333,17411380670.0

block,32,19.0,0.007849,0.368368666667,0.112134666667,13.0,34320.6666667
,52,45.6666666667,0.00721466666667,0.290727,0.193614,125.0,85451.3333333
,128,328.0,0.006868,0.273503333333,0.52091,178.666666667,549629.666667
,148,380.0,0.00562966666667,0.364702333333,0.683084666667,1037.33333333,717623.333333
,1024,23236.3333333,0.309416333333,0.0166236666667,0.165865666667,30257.0,44942371.3333
,2048,93209.6666667,0.308716666667,0.0168436666667,0.174407666667,121545.333333,179557975.333

block_omp,32,284.0,0.0707653333333,0.386104666667,0.117321333333,188.333333333,8774.33333333
,52,289.0,0.0573156666667,0.379081333333,0.138148333333,181.0,17365.0
,128,431.333333333,0.0264203333333,0.454638666667,0.260952666667,377.333333333,60874.6666667
,148,381.0,0.0237563333333,0.433409,0.188671,355.0,79947.3333333
,1024,6086.33333333,0.274420666667,0.0169163333333,0.276312333333,5462.0,4509744.33333
,2048,13543.6666667,0.290495666667,0.018368,0.206816666667,17315.0,17934757.0

cuda,32,266551.0,0.031596,0.241133666667,0.146957333333,50180.0,298588.0
,52,263628.666667,0.031674,0.241787333333,0.145821333333,53710.3333333,298714.0
,128,271208.0,0.0319096666667,0.241077666667,0.144703333333,51000.3333333,299240.666667
,148,273964.0,0.0318863333333,0.241861333333,0.148668,54537.6666667,299767.333333
,1024,300067.333333,0.0513823333333,0.102377,0.16995,80218.0,495959.666667
,2048,474101.0,0.061071,0.0359233333333,0.211192,158414.0,1903677.33333

block_cuda,32,270349.666667,0.031641,0.243357666667,0.138818666667,50539.3333333,298741.333333
,52,270861.666667,0.031432,0.243171333333,0.140708666667,53666.6666667,298643.333333
,128,268492.666667,0.0317016666667,0.241885333333,0.142869333333,54264.6666667,298975.666667
,148,270189.333333,0.0318743333333,0.242853333333,0.149645666667,54543.3333333,299250.666667
,1024,281840.333333,0.0455076666667,0.174481333333,0.168539666667,76563.6666667,374977.333333
,2048,359777.0,0.0603696666667,0.0842866666667,0.207379,158017.333333,901976.666667

